Tactic,Police Force,Force type - Output,Tactic - Output,health-condition,count
"AEP, of which",West Yorkshire,Less lethal weapons,Total: AEP,None,31.0
AEP drawn,West Yorkshire,,,None,31.0
AEP used,West Yorkshire,,,None,0.0
AEP not stated,West Yorkshire,,,None,0.0
*Total Firearms,West Yorkshire,Firearms,Total: Firearms,None,169.0
*Total Other,West Yorkshire,Other,Total: Other,None,247.0
"Dog use, of which",West Yorkshire,Other,Total: Dog,None,42.0
Dog deployed,West Yorkshire,Other,Dog: deployed,None,28.0
Dog bite,West Yorkshire,Other,Dog: bite,None,14.0
Dog not stated,West Yorkshire,,,None,0.0
Other / improvised,West Yorkshire,Other,Other / improvised,None,205.0
*Total Not reported,West Yorkshire,Not reported,Total: Not reported,None,0.0
Tactical communication,West Yorkshire,Excluded: Tactical Communication,Tactical Communication,None,8455.0
*Total Tactics,Wiltshire,Total,Total: all,None,0.0
*Total Restraint,Wiltshire,Restraint,Total: Restraint,None,0.0
"Handcuffing, of which",Wiltshire,Restraint,Total: Handcuffing,None,0.0
Compliant handcuffing,Wiltshire,Restraint,Handcuffing: compliant,None,0.0
Non-compliant handcuffing,Wiltshire,Restraint,Handcuffing: non-compliant,None,0.0
Handcuffing not stated,Wiltshire,,,None,0.0
Limb / Body restraints,Wiltshire,Restraint,Limb / body restraints,None,0.0
Ground restraint,Wiltshire,Restraint,Ground restraint,None,0.0
*Total Unarmed skills,Wiltshire,Unarmed skills,Total: unarmed skills,None,0.0
*Total Other equipment,Wiltshire,Other equipment,Total: Other equipment,None,0.0
"Baton, of which",Wiltshire,Other equipment,Total: Baton,None,0.0
Baton drawn,Wiltshire,Other equipment,Baton: drawn,None,0.0
Baton used,Wiltshire,Other equipment,Baton: used,None,0.0
Baton not stated,Wiltshire,,,None,0.0
"Irritant spray, of which",Wiltshire,Other equipment,Total: Irritant spray,None,0.0
Irritant spray - drawn,Wiltshire,Other equipment,Irritant spray: drawn,None,0.0
Irritant spray - used,Wiltshire,Other equipment,Irritant spray: used,None,0.0
Irritant spray not stated,Wiltshire,,,None,0.0
Spit and bite guard,Wiltshire,Other equipment,Spit and bite guard,None,0.0
Shield,Wiltshire,Other equipment,Shield,None,0.0
*Total Less lethal weapons,Wiltshire,Less lethal weapons,Total: Less lethal weapons,None,0.0
CED of which,Wiltshire,,,None,0.0
CED non-discharge,Wiltshire,,,None,0.0
CED discharge,Wiltshire,,,None,0.0
CED not stated,Wiltshire,,,None,0.0
"AEP, of which",Wiltshire,Less lethal weapons,Total: AEP,None,0.0
AEP drawn,Wiltshire,,,None,0.0
AEP used,Wiltshire,,,None,0.0
AEP not stated,Wiltshire,,,None,0.0
*Total Firearms,Wiltshire,Firearms,Total: Firearms,None,0.0
*Total Other,Wiltshire,Other,Total: Other,None,0.0
"Dog use, of which",Wiltshire,Other,Total: Dog,None,0.0
Dog deployed,Wiltshire,Other,Dog: deployed,None,0.0
Dog bite,Wiltshire,Other,Dog: bite,None,0.0
Dog not stated,Wiltshire,,,None,0.0
Other / improvised,Wiltshire,Other,Other / improvised,None,0.0
*Total Not reported,Wiltshire,Not reported,Total: Not reported,None,0.0
*Total Tactics,Avon & Somerset,Total,Total: all,Not reported,0.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,Not reported,
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,Not reported,
Handcuffing not stated,Avon & Somerset,,,Not reported,0.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,Not reported,
Baton used,Avon & Somerset,Other equipment,Baton: used,Not reported,
Baton not stated,Avon & Somerset,,,Not reported,0.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,Not reported,
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,Not reported,
Irritant spray not stated,Avon & Somerset,,,Not reported,0.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Avon & Somerset,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,Avon & Somerset,,,Not reported,0.0
CED non-discharge,Avon & Somerset,,,Not reported,0.0
CED discharge,Avon & Somerset,,,Not reported,0.0
CED not stated,Avon & Somerset,,,Not reported,0.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,Avon & Somerset,,,Not reported,0.0
AEP used,Avon & Somerset,,,Not reported,0.0
AEP not stated,Avon & Somerset,,,Not reported,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Avon & Somerset,Other,Total: Other,Not reported,0.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,Not reported,0.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,Not reported,
Dog bite,Avon & Somerset,Other,Dog: bite,Not reported,
Dog not stated,Avon & Somerset,,,Not reported,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,Not reported,0.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Bedfordshire,Total,Total: all,Not reported,0.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,Bedfordshire,,,Not reported,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Bedfordshire,Other equipment,Baton: used,Not reported,0.0
Baton not stated,Bedfordshire,,,Not reported,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,Bedfordshire,,,Not reported,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Bedfordshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,Bedfordshire,,,Not reported,0.0
CED non-discharge,Bedfordshire,,,Not reported,0.0
CED discharge,Bedfordshire,,,Not reported,0.0
CED not stated,Bedfordshire,,,Not reported,0.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,Bedfordshire,,,Not reported,0.0
AEP used,Bedfordshire,,,Not reported,0.0
AEP not stated,Bedfordshire,,,Not reported,0.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Bedfordshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Bedfordshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Bedfordshire,Other,Dog: bite,Not reported,0.0
Dog not stated,Bedfordshire,,,Not reported,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Cambridgeshire,Total,Total: all,Not reported,0.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,Cambridgeshire,,,Not reported,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Cambridgeshire,Other equipment,Baton: used,Not reported,0.0
Baton not stated,Cambridgeshire,,,Not reported,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,Cambridgeshire,,,Not reported,0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Cambridgeshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,Cambridgeshire,,,Not reported,0.0
CED non-discharge,Cambridgeshire,,,Not reported,0.0
CED discharge,Cambridgeshire,,,Not reported,0.0
CED not stated,Cambridgeshire,,,Not reported,0.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,Cambridgeshire,,,Not reported,0.0
AEP used,Cambridgeshire,,,Not reported,0.0
AEP not stated,Cambridgeshire,,,Not reported,0.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Cambridgeshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Cambridgeshire,Other,Dog: bite,Not reported,0.0
Dog not stated,Cambridgeshire,,,Not reported,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Cheshire,Total,Total: all,Not reported,0.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,Cheshire,,,Not reported,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Cheshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Cheshire,Other equipment,Baton: used,Not reported,0.0
Baton not stated,Cheshire,,,Not reported,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,Cheshire,,,Not reported,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Cheshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,Cheshire,,,Not reported,0.0
CED non-discharge,Cheshire,,,Not reported,0.0
CED discharge,Cheshire,,,Not reported,0.0
CED not stated,Cheshire,,,Not reported,0.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,Cheshire,,,Not reported,0.0
AEP used,Cheshire,,,Not reported,0.0
AEP not stated,Cheshire,,,Not reported,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Cheshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Cheshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Cheshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Cheshire,Other,Dog: bite,Not reported,0.0
Dog not stated,Cheshire,,,Not reported,0.0
Other / improvised,Cheshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,City of London,Total,Total: all,Not reported,0.0
*Total Restraint,City of London,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,City of London,,,Not reported,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,City of London,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",City of London,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,City of London,Other equipment,Baton: drawn,Not reported,0.0
Baton used,City of London,Other equipment,Baton: used,Not reported,0.0
Baton not stated,City of London,,,Not reported,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,City of London,,,Not reported,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,Not reported,0.0
Shield,City of London,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,City of London,,,Not reported,0.0
CED non-discharge,City of London,,,Not reported,0.0
CED discharge,City of London,,,Not reported,0.0
CED not stated,City of London,,,Not reported,0.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,City of London,,,Not reported,0.0
AEP used,City of London,,,Not reported,0.0
AEP not stated,City of London,,,Not reported,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,Not reported,0.0
*Total Other,City of London,Other,Total: Other,Not reported,0.0
"Dog use, of which",City of London,Other,Total: Dog,Not reported,0.0
Dog deployed,City of London,Other,Dog: deployed,Not reported,0.0
Dog bite,City of London,Other,Dog: bite,Not reported,0.0
Dog not stated,City of London,,,Not reported,0.0
Other / improvised,City of London,Other,Other / improvised,Not reported,0.0
*Total Not reported,City of London,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Cleveland,Total,Total: all,Not reported,9219.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,Not reported,7992.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,Not reported,7992.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,Cleveland,,,Not reported,7992.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Cleveland,Restraint,Ground restraint,Not reported,0.0
