Tactic,Police Force,Force type - Output,Tactic - Output,Disability,count
*Total Not reported,West Mercia,Not reported,Total: Not reported,None,111.0
Tactical communication,West Mercia,Excluded: Tactical Communication,Tactical Communication,None,1699.0
*Total Tactics,West Midlands,Total,Total: all,None,11225.0
*Total Restraint,West Midlands,Restraint,Total: Restraint,None,4517.0
"Handcuffing, of which",West Midlands,Restraint,Total: Handcuffing,None,2661.0
Compliant handcuffing,West Midlands,Restraint,Handcuffing: compliant,None,0.0
Non-compliant handcuffing,West Midlands,Restraint,Handcuffing: non-compliant,None,2661.0
Not stated handcuffing,West Midlands,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,West Midlands,Restraint,Limb / body restraints,None,454.0
Ground restraint,West Midlands,Restraint,Ground restraint,None,1402.0
*Total Unarmed skills,West Midlands,Unarmed skills,Total: unarmed skills,None,3494.0
*Total Other equipment,West Midlands,Other equipment,Total: Other equipment,None,1290.0
"Baton, of which",West Midlands,Other equipment,Total: Baton,None,265.0
Baton drawn,West Midlands,Other equipment,Baton: drawn,None,0.0
Baton used,West Midlands,Other equipment,Baton: used,None,265.0
Not stated baton,West Midlands,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",West Midlands,Other equipment,Total: Irritant spray,None,786.0
Irritant spray - drawn,West Midlands,Other equipment,Irritant spray: drawn,None,0.0
Irritant spray - used,West Midlands,Other equipment,Irritant spray: used,None,786.0
Not stated irritant spray,West Midlands,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,West Midlands,Other equipment,Spit and bite guard,None,216.0
Shield,West Midlands,Other equipment,Shield,None,23.0
*Total Less lethal weapons,West Midlands,Less lethal weapons,Total: Less lethal weapons,None,664.0
CED,West Midlands,Less lethal weapons,CED,None,638.0
"AEP, of which",West Midlands,Less lethal weapons,Total: AEP,None,26.0
AEP aimed,West Midlands,Less lethal weapons,AEP: Aimed,None,24.0
AEP fired,West Midlands,Less lethal weapons,AEP: Fired,None,2.0
Not stated AEP,West Midlands,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,West Midlands,Firearms,Total: Firearms,None,585.0
*Total Other,West Midlands,Other,Total: Other,None,675.0
"Dog use, of which",West Midlands,Other,Total: Dog,None,116.0
Dog deployed,West Midlands,Other,Dog: deployed,None,0.0
Dog bite,West Midlands,Other,Dog: bite,None,116.0
Not stated dog,West Midlands,Other,Dog: not stated,None,0.0
Other / improvised,West Midlands,Other,Other / improvised,None,559.0
*Total Not reported,West Midlands,Not reported,Total: Not reported,None,0.0
Tactical communication,West Midlands,Excluded: Tactical Communication,Tactical Communication,None,0.0
*Total Tactics,West Yorkshire,Total,Total: all,None,15314.0
*Total Restraint,West Yorkshire,Restraint,Total: Restraint,None,9299.0
"Handcuffing, of which",West Yorkshire,Restraint,Total: Handcuffing,None,8563.0
Compliant handcuffing,West Yorkshire,Restraint,Handcuffing: compliant,None,5811.0
Non-compliant handcuffing,West Yorkshire,Restraint,Handcuffing: non-compliant,None,2752.0
Not stated handcuffing,West Yorkshire,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,West Yorkshire,Restraint,Limb / body restraints,None,338.0
Ground restraint,West Yorkshire,Restraint,Ground restraint,None,398.0
*Total Unarmed skills,West Yorkshire,Unarmed skills,Total: unarmed skills,None,3859.0
*Total Other equipment,West Yorkshire,Other equipment,Total: Other equipment,None,1096.0
"Baton, of which",West Yorkshire,Other equipment,Total: Baton,None,134.0
Baton drawn,West Yorkshire,Other equipment,Baton: drawn,None,82.0
Baton used,West Yorkshire,Other equipment,Baton: used,None,52.0
Not stated baton,West Yorkshire,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",West Yorkshire,Other equipment,Total: Irritant spray,None,806.0
Irritant spray - drawn,West Yorkshire,Other equipment,Irritant spray: drawn,None,297.0
Irritant spray - used,West Yorkshire,Other equipment,Irritant spray: used,None,509.0
Not stated irritant spray,West Yorkshire,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,West Yorkshire,Other equipment,Spit and bite guard,None,149.0
Shield,West Yorkshire,Other equipment,Shield,None,7.0
*Total Less lethal weapons,West Yorkshire,Less lethal weapons,Total: Less lethal weapons,None,542.0
CED,West Yorkshire,Less lethal weapons,CED,None,502.0
"AEP, of which",West Yorkshire,Less lethal weapons,Total: AEP,None,40.0
AEP aimed,West Yorkshire,Less lethal weapons,AEP: Aimed,None,40.0
AEP fired,West Yorkshire,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,West Yorkshire,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,West Yorkshire,Firearms,Total: Firearms,None,313.0
*Total Other,West Yorkshire,Other,Total: Other,None,205.0
"Dog use, of which",West Yorkshire,Other,Total: Dog,None,59.0
Dog deployed,West Yorkshire,Other,Dog: deployed,None,50.0
Dog bite,West Yorkshire,Other,Dog: bite,None,9.0
Not stated dog,West Yorkshire,Other,Dog: not stated,None,0.0
Other / improvised,West Yorkshire,Other,Other / improvised,None,146.0
*Total Not reported,West Yorkshire,Not reported,Total: Not reported,None,0.0
Tactical communication,West Yorkshire,Excluded: Tactical Communication,Tactical Communication,None,7059.0
*Total Tactics,Wiltshire,Total,Total: all,None,1586.0
*Total Restraint,Wiltshire,Restraint,Total: Restraint,None,664.0
"Handcuffing, of which",Wiltshire,Restraint,Total: Handcuffing,None,411.0
Compliant handcuffing,Wiltshire,Restraint,Handcuffing: compliant,None,174.0
Non-compliant handcuffing,Wiltshire,Restraint,Handcuffing: non-compliant,None,237.0
Not stated handcuffing,Wiltshire,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,Wiltshire,Restraint,Limb / body restraints,None,51.0
Ground restraint,Wiltshire,Restraint,Ground restraint,None,202.0
*Total Unarmed skills,Wiltshire,Unarmed skills,Total: unarmed skills,None,599.0
*Total Other equipment,Wiltshire,Other equipment,Total: Other equipment,None,71.0
"Baton, of which",Wiltshire,Other equipment,Total: Baton,None,20.0
Baton drawn,Wiltshire,Other equipment,Baton: drawn,None,9.0
Baton used,Wiltshire,Other equipment,Baton: used,None,11.0
Not stated baton,Wiltshire,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Wiltshire,Other equipment,Total: Irritant spray,None,49.0
Irritant spray - drawn,Wiltshire,Other equipment,Irritant spray: drawn,None,12.0
Irritant spray - used,Wiltshire,Other equipment,Irritant spray: used,None,37.0
Not stated irritant spray,Wiltshire,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Wiltshire,Other equipment,Spit and bite guard,None,0.0
Shield,Wiltshire,Other equipment,Shield,None,2.0
*Total Less lethal weapons,Wiltshire,Less lethal weapons,Total: Less lethal weapons,None,211.0
CED,Wiltshire,Less lethal weapons,CED,None,211.0
"AEP, of which",Wiltshire,Less lethal weapons,Total: AEP,None,0.0
AEP aimed,Wiltshire,Less lethal weapons,AEP: Aimed,None,0.0
AEP fired,Wiltshire,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,Wiltshire,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,Wiltshire,Firearms,Total: Firearms,None,0.0
*Total Other,Wiltshire,Other,Total: Other,None,41.0
"Dog use, of which",Wiltshire,Other,Total: Dog,None,4.0
Dog deployed,Wiltshire,Other,Dog: deployed,None,1.0
Dog bite,Wiltshire,Other,Dog: bite,None,3.0
Not stated dog,Wiltshire,Other,Dog: not stated,None,0.0
Other / improvised,Wiltshire,Other,Other / improvised,None,37.0
*Total Not reported,Wiltshire,Not reported,Total: Not reported,None,0.0
Tactical communication,Wiltshire,Excluded: Tactical Communication,Tactical Communication,None,386.0
*Total Tactics,Total England and Wales,Total,Total: all,Not reported,1375.0
*Total Restraint,Total England and Wales,Restraint,Total: Restraint,Not reported,748.0
"Handcuffing, of which",Total England and Wales,Restraint,Total: Handcuffing,Not reported,685.0
Compliant handcuffing,Total England and Wales,Restraint,Handcuffing: compliant,Not reported,287.0
Non-compliant handcuffing,Total England and Wales,Restraint,Handcuffing: non-compliant,Not reported,38.0
Not stated handcuffing,Total England and Wales,Restraint,Handcuffing: not stated,Not reported,360.0
Limb / Body restraints,Total England and Wales,Restraint,Limb / body restraints,Not reported,47.0
Ground restraint,Total England and Wales,Restraint,Ground restraint,Not reported,16.0
*Total Unarmed skills,Total England and Wales,Unarmed skills,Total: unarmed skills,Not reported,216.0
*Total Other equipment,Total England and Wales,Other equipment,Total: Other equipment,Not reported,194.0
"Baton, of which",Total England and Wales,Other equipment,Total: Baton,Not reported,118.0
Baton drawn,Total England and Wales,Other equipment,Baton: drawn,Not reported,78.0
Baton used,Total England and Wales,Other equipment,Baton: used,Not reported,33.0
Not stated baton,Total England and Wales,Other equipment,Baton: not stated,Not reported,7.0
"Irritant spray, of which",Total England and Wales,Other equipment,Total: Irritant spray,Not reported,70.0
Irritant spray - drawn,Total England and Wales,Other equipment,Irritant spray: drawn,Not reported,20.0
Irritant spray - used,Total England and Wales,Other equipment,Irritant spray: used,Not reported,28.0
Not stated irritant spray,Total England and Wales,Other equipment,Irritant spray: not stated,Not reported,22.0
Spit and bite guard,Total England and Wales,Other equipment,Spit and bite guard,Not reported,5.0
Shield,Total England and Wales,Other equipment,Shield,Not reported,1.0
*Total Less lethal weapons,Total England and Wales,Less lethal weapons,Total: Less lethal weapons,Not reported,94.0
CED,Total England and Wales,Less lethal weapons,CED,Not reported,86.0
"AEP, of which",Total England and Wales,Less lethal weapons,Total: AEP,Not reported,8.0
AEP aimed,Total England and Wales,Less lethal weapons,AEP: Aimed,Not reported,8.0
AEP fired,Total England and Wales,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Total England and Wales,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Total England and Wales,Firearms,Total: Firearms,Not reported,36.0
*Total Other,Total England and Wales,Other,Total: Other,Not reported,87.0
"Dog use, of which",Total England and Wales,Other,Total: Dog,Not reported,33.0
Dog deployed,Total England and Wales,Other,Dog: deployed,Not reported,26.0
Dog bite,Total England and Wales,Other,Dog: bite,Not reported,6.0
Not stated dog,Total England and Wales,Other,Dog: not stated,Not reported,1.0
Other / improvised,Total England and Wales,Other,Other / improvised,Not reported,54.0
*Total Not reported,Total England and Wales,Not reported,Total: Not reported,Not reported,217.0
Tactical communication,Total England and Wales,Excluded: Tactical Communication,Tactical Communication,Not reported,411.0
*Total Tactics,Avon & Somerset,Total,Total: all,Not reported,204.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,Not reported,22.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,Not reported,14.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,Not reported,6.0
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,Not reported,8.0
Not stated handcuffing,Avon & Somerset,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,Not reported,8.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,Not reported,57.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,Not reported,95.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,Not reported,88.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,Not reported,59.0
Baton used,Avon & Somerset,Other equipment,Baton: used,Not reported,29.0
Not stated baton,Avon & Somerset,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,Not reported,7.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,Not reported,6.0
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,Not reported,1.0
Not stated irritant spray,Avon & Somerset,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Avon & Somerset,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,Not reported,8.0
CED,Avon & Somerset,Less lethal weapons,CED,Not reported,8.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Avon & Somerset,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Avon & Somerset,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Avon & Somerset,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,Not reported,1.0
*Total Other,Avon & Somerset,Other,Total: Other,Not reported,21.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,Not reported,14.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,Not reported,8.0
Dog bite,Avon & Somerset,Other,Dog: bite,Not reported,6.0
Not stated dog,Avon & Somerset,Other,Dog: not stated,Not reported,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,Not reported,7.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,Not reported,92.0
*Total Tactics,Bedfordshire,Total,Total: all,Not reported,0.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,Bedfordshire,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Bedfordshire,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Bedfordshire,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Bedfordshire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Bedfordshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Bedfordshire,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Bedfordshire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Bedfordshire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Bedfordshire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Bedfordshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Bedfordshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Bedfordshire,Other,Dog: bite,Not reported,0.0
Not stated dog,Bedfordshire,Other,Dog: not stated,Not reported,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Cambridgeshire,Total,Total: all,Not reported,0.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,Not reported,0.0
